"","candidate","total.x","prop.x","total.y","prop.y","total.x.x","prop.x.x","total.y.y","prop.y.y","total.x.x.x","prop.x.x.x","total.y.y.y","prop.y.y.y","total.x.x.x.x","prop.x.x.x.x","total.y.y.y.y","prop.y.y.y.y","total","prop"
"1","SANDRA LEE FEWER",12550,0.397026257513445,12689,0.401843113658676,12777,0.40577362804878,12845,0.408959215511478,13066,0.417364083562256,13133,0.421118450586802,13297,0.43197323110909,13459,0.450751867108744,15013,0.528087516268599
"2","MARJAN PHILHOUR",11067,0.350110724454287,11135,0.352630078854863,11248,0.357215447154472,11356,0.361552421280525,11523,0.368076407078515,11728,0.376066183543898,11929,0.387531674355143,12241,0.409960146019626,13416,0.471912483731401
"3","DAVID LEE",3396,0.107434356216387,3408,0.107926655477088,3490,0.11083587398374,3560,0.113343309242574,3637,0.116175812943206,3879,0.124382735843006,4000,0.129946072379962,4159,0.13928798687163,NA,NA
"4","RICHIE GREENBERG",974,0.0308130338500475,984,0.0311619216518352,1042,0.0330919715447154,1223,0.0389378840459741,1284,0.0410145020123938,1414,0.0453408580773424,1556,0.0505490221558053,NA,NA,NA,NA
"5","BRIAN J. LARKIN",747,0.0236317621006011,773,0.024479842923647,835,0.0265180386178862,905,0.0288133974338565,976,0.0311761323707915,1032,0.0330917719489515,NA,NA,NA,NA,NA,NA
"6","SAMUEL KWONG",740,0.0234103131920278,744,0.0235614529562656,761,0.0241679369918699,788,0.0250883504727944,820,0.0261930620328372,NA,NA,NA,NA,NA,NA,NA,NA
"7","JONATHAN LYENS",609,0.0192660550458716,652,0.0206479399562973,680,0.0215955284552846,732,0.0233054220127989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","JASON JUNGREIS",611,0.0193293261626068,626,0.0198245558476106,655,0.020801575203252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","SHERMAN R. D'SILVA",557,0.0176210060107561,566,0.0179244386737182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ANDY THORNLEY",359,0.0113571654539703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,3499,0.110692818728251,3522,0.111536878107483,3574,0.113503556910569,3629,0.115540131809354,3677,0.117453523286271,3733,0.119701147951004,3823,0.124195958677149,3970,0.132958237047456,4462,0.156952407752647
